"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
14,"ЖК Elif Garden в Алматы",815000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - III квартал 2023 г.Третья очередь - III квартал 2023 г.Четвертая очередь - I квартал 2025 г.Пятая очередь - I квартал 2025 г.","Алматы, Бостандыкский р-н, ул. Розыбакиева угол ул. Сатпаева","GAB Construction","https://krisha.kz/complex/show/almaty/elifgarden/","business","12 этажей","3 м","monolithic","pre-finish",500,"na","central","грузовой, пассажирский","Не указано","underground","480","almaty"
15,"ЖК Jetisu Park в Алматы",490000,"Строящийся","Первая очередь - IV квартал 2022 г.Вторая очередь - III квартал 2023 г.Третья очередь - II квартал 2024 г.Четвертая очередь - IV квартал 2024 г.","Алматы, Жетысуский р-н, ул. Есенова, 160/3","ТОО МИА Строй","https://krisha.kz/complex/show/almaty/jetisupark/","comfort","13 этажей","2.7 м","monolithic","pre-finish",1210,"na","na","грузовой, грузопассажирский","Не указано","underground","Не указано","almaty"
16,"ЖК Kamenka Park в Алматы",560000,"Строящийся","III квартал 2024 г.","Алматы, Наурызбайский р-н, мкр. Таусамалы, ул. Жандосова 70а","Dos Development","https://krisha.kz/complex/show/almaty/kamenkapark/","comfort","3 этажа","3 м","monolithic","shell",192,"discrete","central","Не указано","Не указано","both","192","almaty"
17,"ЖК ALA Town в Алматы",860000,"Строящийся","II квартал 2025 г.","Алматы, Наурызбайский р-н, ул. Талжанова, участок 1А","BI Group","https://krisha.kz/complex/show/almaty/alatown/","business","2 этажа","3 м","monolithic","shell",33,"na","autonomous","Не указано","Не указано","surface","Не указано","almaty"
18,"ЖК Arena City. Life в Алматы",572500,"Строящийся","IV квартал 2025 г.","Алматы, Алатауский р-н, ул. Ботакоз, 2/1","BI Group","https://krisha.kz/complex/show/almaty/arenacitylife/","business","7-12 этажей","3 м","monolithic","pre-finish",47,"na","central","пассажирский","гранит","underground","47","almaty"
19,"Бигвилль Arena City. Sport в Алматы",412000,"Строящийся","IV квартал 2025 г.","Алматы, Алатауский р-н, ул. Бауыржана Момышулы, 11/14а","BI Group","https://krisha.kz/complex/show/almaty/arenacitysport/","comfort","6 этажей","2.7 м","monolithic","pre-finish",364,"discrete","na","пассажирский","клинкерный кирпич, декоративная штукатурка, вентилируемый фасад","surface","301","almaty"
20,"Бигвилль Dream City. Family в Алматы",477000,"Строящийся","IV квартал 2025 г.","Алматы, Турксибский р-н, ул. Тараз, 8/1","BI Group","https://krisha.kz/complex/show/almaty/dreamcityfamily/","comfort","6 этажей","3 м","monolithic","pre-finish",220,"na","na","пассажирский","Не указано","surface","Не указано","almaty"
21,"Бигвилль Dream City. Eco в Алматы",399000,"Строящийся","II квартал 2025 г.","Алматы, Турксибский р-н, ул. Тараз","BI Group","https://krisha.kz/complex/show/almaty/dreamcityeco/","comfort","6 этажей","2.7 м","monolithic","pre-finish",220,"na","central","пассажирский","клинкерный кирпич, декоративная штукатурка","surface","Не указано","almaty"
22,"ЖК President's Village в Алматы",1e+06,"Строящийся","II квартал 2025 г.","Алматы, Бостандыкский р-н, мкр-н Мирас, ул. Садыкова","BI Group","https://krisha.kz/complex/show/almaty/presidentsvillage/","elite","2 этажа","3.6 м","monolithic","shell",20,"na","na","Не указано","Не указано","surface","18","almaty"
23,"ЖК Verdi в Алматы",782000,"Строящийся","III квартал 2025 г.","Алматы, Бостандыкский р-н, ​Переулок Лебедева, 1/1","BI Group","https://krisha.kz/complex/show/almaty/verdi/","business","9 этажей","3 м","monolithic","pre-finish",102,"na","central","пассажирский","hpl-панели","underground","Не указано","almaty"
24,"ЖК Arena Park в Алматы",508100,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - II квартал 2024 г.Третья очередь - I квартал 2025 г.Четвертая очередь - II квартал 2025 г.","Алматы, Алатауский р-н, ул. Бауыржана Момышулы - ул. Монке би","BI Group","https://krisha.kz/complex/show/almaty/arenapark/","comfort","12 этажей","2.7 м","monolithic","pre-finish",8000,"na","central","пассажирский","Не указано","surface","145","almaty"
25,"ЖК Boulevard Residence в Алматы",1250000,"Строящийся","IV квартал 2024 г.","Алматы, ул. Минина","BI Group","https://krisha.kz/complex/show/almaty/boulevardresidence/","business","12 этажей","3 м","monolithic","pre-finish",110,"na","na","пассажирский","Не указано","na","Не указано","almaty"
26,"ЖК Lifetown в Алматы",615000,"Строящийся","Первая очередь - I квартал 2023 г.Вторая очередь - I квартал 2024 г.Третья очередь - III квартал 2024 г.","Алматы, ул. Торекулова","BI Group","https://krisha.kz/complex/show/almaty/lifetown/","comfort","12 этажей","2.7 м","monolithic","pre-finish",529,"na","na","грузопассажирский","Не указано","underground","66","almaty"
27,"ЖК O'NER в Алматы",834000,"Строящийся","Первая очередь - II квартал 2022 г.Вторая очередь - III квартал 2024 г.","Алматы, Алмалинский р-н, проспект Абая, уч. 165","BI Group","https://krisha.kz/complex/show/almaty/oner/","comfort","12-17 этажей","2.7 м","monolithic","pre-finish",86,"na","na","грузовой, пассажирский","Не указано","underground","Не указано","almaty"
28,"ЖК White Residence в Алматы",NA,"Строящийся","III квартал 2026 г.","Алматы, Наурызбайский р-н, мкр. Таусамалы, 49/1","Tau Development","https://krisha.kz/complex/show/almaty/whiteresidence/","business","3 этажа","3 м","monolithic","pre-finish",291,"discrete","autonomous","грузопассажирский","вентилируемый фасад","underground","39","almaty"
29,"ЖК Turan в Алматы",450000,"Строящийся","IV квартал 2026 г.","Алматы, Турксибский р-н, улица Санлак 2","Myntas Stroy","https://krisha.kz/complex/show/almaty/turan/","comfort","4 этажа","2.9 м","monolithic","pre-finish",562,"discrete","autonomous","Не указано","фиброцементные панели, вентилируемый фасад","both","562","almaty"
30,"ЖК Altyn-Ai в Алматы",397500,"Строящийся","I квартал 2025 г.","Алматы, Алатауский р-н, ул. Момышулы, 100","Exclusive Qurylys","https://krisha.kz/complex/show/almaty/altyn-ai/","comfort","12 этажей","3 м","monolithic","shell",1872,"na","central","грузовой, пассажирский","фиброцементные панели, гранит, вентилируемый фасад, травертин","surface","1042","almaty"
31,"ЖК Arman Town в Алматы",415000,"Строящийся","III квартал 2025 г.","Алматы, Медеуский р-н, ул. Халиуллина, 140/5","SABA GROUP KZ","https://krisha.kz/complex/show/almaty/armantown/","comfort","6 этажей","2.85 м","monolithic","shell",177,"na","central","грузопассажирский","керамические панели, клинкерный кирпич","surface","Не указано","almaty"
32,"ЖК Baitas в Алматы",1e+06,"Строящийся","IV квартал 2025 г.","Алматы, Медеуский р-н, ул.Байтасова 9","AB Capital","https://krisha.kz/complex/show/almaty/baitas/","elite","3 этажа","3.4 м","monolithic","shell",33,"discrete","central","пассажирский, грузопассажирский","натуральный камень","both","33","almaty"
